 OTUID	N1_40	E3_60	E1_0	N2_0	E3_40	E2_60	N2_40	E3_0	E2_40	E1_40	N3_60	N1_60	N1_0	N2_60	E1_60	E2_0	N3_0	N3_40
OTU_178	17	112	16	20	45	130	18	11	42	13	52	7	22	7	68	9	11	22
OTU_72	167	47	11	310	70	29	112	10	41	10	394	168	338	46	22	14	355	171
OTU_35	197	106	855	4257	235	119	141	1012	255	189	57	117	2143	22	119	709	2245	153
OTU_134	90	47	35	59	87	39	59	54	60	65	103	68	47	95	53	54	43	85
OTU_27	1485	143	19	72	3237	150	812	10	442	158	321	208	63	84	85	15	44	1926
OTU_45	321	3	2	3	9	3	213	2	2	0	35	647	3	70	1	6	0	41
OTU_41	218	12	9	210	909	4	1424	2	19	13	31	29	15	8	20	7	27	1138
OTU_44	278	57	17	53	19	47	150	18	14	15	348	436	44	1830	29	15	31	37
OTU_51	59	0	0	2	1714	1	210	0	868	94	0	1	0	2	3	0	0	48
OTU_346	12	10	11	7	14	10	16	5	11	13	11	18	14	9	20	7	3	22
OTU_50	6	14	4	4	2116	11	7	6	835	1	5	5	2	8	6	6	5	10
OTU_311	33	14	27	24	38	11	22	27	17	23	25	31	22	11	13	29	22	31
OTU_75	69	0	0	0	189	0	193	1	412	233	1	0	0	2	1	0	0	193
OTU_194	29	3	0	3	3	0	3	1	1	0	88	21	1	110	3	0	0	12
OTU_91	661	8	3	14	17	10	546	3	6	22	58	136	8	135	14	5	15	541
OTU_37	2155	25	14	19	34	26	649	17	24	21	1449	530	14	422	27	11	18	2035
OTU_11	185	855	136	314	5599	783	131	124	9496	8089	111	245	356	59	1005	105	327	169
OTU_59	501	0	2	1	29	0	421	0	606	79	0	3	1	6	0	0	1	151
OTU_12	691	1558	117	67	292	1818	524	155	255	141	7453	3102	53	1014	628	123	60	590
OTU_15	1444	480	67	707	399	473	603	59	148	147	2164	6474	677	574	251	59	597	708
OTU_1068	138	1	1	4	11	0	65	4	3	5	7	7	4	18	1	4	5	43
OTU_53	431	16	5	11	16	18	187	3	8	9	324	794	6	582	10	6	5	458
OTU_371	13	10	17	14	6	12	18	30	8	5	11	13	13	18	7	18	17	12
OTU_29	49	32	118	4190	94	36	35	39	62	122	18	33	2588	10	40	50	2762	59
OTU_2617	1	3	5	4	3	0	4	2	0	0	0	0	4	2	0	1	6	0
OTU_811	4	9	79	643	3	10	3	65	5	0	1	1	452	0	4	110	476	10
OTU_892	0	0	37	3	2	1	1	23	0	0	5	0	3	0	0	23	1	0
OTU_497	7	3	4	6	8	6	10	7	13	10	13	7	2	4	10	11	8	11
OTU_2163	59	321	11	10	21	117	41	33	78	34	52	155	5	21	35	31	4	48
OTU_1024	0	0	0	0	1	0	0	0	0	0	0	1	0	7	0	0	0	0
OTU_123	15	10	327	20	37	7	10	260	62	19	13	10	17	20	23	344	25	11
OTU_94	10	17	14	774	5	12	8	13	8	9	12	6	846	7	13	17	983	8
OTU_200	38	351	39	12	14	222	43	22	36	33	187	255	22	307	171	50	9	21
OTU_102	283	10	5	15	6	8	146	10	0	4	332	59	14	95	5	4	14	388
OTU_268	13	2	4	54	1	4	17	0	2	0	23	1	47	8	1	4	50	18
OTU_294	10	15	676	10	20	5	8	125	4	11	12	3	11	5	6	113	18	7
OTU_18	155	2910	145	118	143	2817	133	101	130	107	2951	2489	92	156	880	107	104	174
OTU_197	24	2	1	4	2	0	8	5	1	2	39	42	0	176	1	1	1	19
OTU_73	169	101	159	181	105	126	114	182	75	83	168	167	149	113	125	163	185	131
OTU_550	0	1	13	0	0	1	0	10	0	2	1	1	1	1	11	18	1	1
OTU_1030	83	2	2	36	3	2	49	0	12	2	306	64	30	28	4	1	21	18
OTU_392	25	24	32	25	21	27	27	32	13	13	48	26	32	17	23	32	36	27
OTU_636	0	2	0	16	0	0	0	0	0	0	0	0	3	0	0	0	5	0
OTU_152	63	40	77	44	61	38	58	60	44	48	53	61	28	21	34	56	32	64
OTU_39	87	66	3	8	2371	71	89	1	569	140	39	69	9	8	33	3	5	757
OTU_236	6	6	251	34	1	10	5	133	3	6	4	11	45	1	6	178	31	2
OTU_776	4	6	662	2	10	2	4	459	27	4	8	3	0	9	2	671	2	6
OTU_991	49	15	8	9	65	16	38	13	36	24	40	52	13	19	20	5	11	61
OTU_2514	87	32	4	38	38	6	137	5	28	13	462	118	14	218	16	11	18	101
OTU_192	54	0	3	4	6	1	49	1	1	0	20	7	4	217	0	1	1	24
OTU_988	0	1	3	2	1	0	1	4	1	3	2	2	3	0	1	0	2	1
OTU_19	1967	93	55	54	1982	85	3054	78	577	477	227	1436	53	307	289	55	57	1914
OTU_382	430	72	90	886	23	82	212	93	21	11	75	90	1777	50	118	76	1058	145
OTU_307	0	3	183	3	1	2	1	94	1	1	31	4	7	7	1	155	1	2
OTU_33	453	215	25	255	898	217	262	33	107	152	2200	597	240	340	151	27	270	544
OTU_2232	23	82	13	4	11	52	36	3	11	8	146	71	1	13	19	7	0	35
OTU_1810	3	32	334	31	19	38	4	284	11	8	16	12	46	5	38	381	20	12
OTU_848	4	0	4	1	2	0	5	0	2	3	0	4	3	0	3	4	3	2
OTU_103	32	3	4	7	7	5	17	4	4	2	67	36	1	530	1	4	2	24
OTU_227	3	5	168	7	1	7	8	152	10	5	10	11	9	1	6	211	5	9
OTU_2479	3	8	6	31	60	53	22	57	32	4	176	15	10	19	8	56	95	94
OTU_2458	140	20	75	108	6	17	83	94	4	7	19	29	122	23	45	78	123	63
OTU_1356	110	66	864	608	22	69	194	275	40	21	79	85	1137	57	130	325	1569	105
OTU_150	63	56	110	79	76	43	64	129	44	37	81	58	85	60	54	106	80	88
OTU_14	1125	68	25	381	6111	71	2205	31	3604	170	506	461	562	89	57	23	210	2206
OTU_287	92	16	13	1647	43	16	73	29	30	14	105	43	1170	52	16	21	1396	136
OTU_40	576	292	523	461	446	345	438	583	319	270	566	432	439	519	269	490	444	506
OTU_107	253	160	7	15	22	142	107	5	70	189	129	167	17	20	141	4	14	83
OTU_62	25	164	782	70	42	190	34	450	80	51	36	28	54	5	134	902	49	33
OTU_93	5	2	0	5	2	4	2	2	0	1	411	481	4	6	2	2	6	3
OTU_65	260	5	5	8	17	8	1043	3	12	5	24	16	7	26	6	4	8	369
OTU_250	1	128	4	2	4	155	0	3	2	11	2	4	3	0	43	0	2	5
OTU_42	46	52	264	1835	45	87	56	915	29	24	65	37	1340	39	108	729	2198	74
OTU_289	37	4	0	6	4	0	30	1	2	3	58	35	4	16	2	3	3	10
OTU_58	117	277	18	28	18	297	100	26	12	11	180	693	21	28	29	20	27	33
OTU_83	11	6	1	2	9	2	11	4	6	2	753	422	2	17	4	4	3	11
OTU_2280	11	0	0	1	0	0	12	0	0	0	5	4	0	0	0	0	1	8
OTU_161	27	2	4	17	8	5	10	6	7	6	129	255	23	171	6	3	20	17
OTU_114	57	83	93	84	66	75	72	88	53	45	93	101	67	66	67	76	72	66
OTU_30	843	982	39	122	276	976	540	44	216	311	947	1416	125	222	433	36	139	538
OTU_566	3	3	25	45	3	2	3	16	4	1	4	2	21	1	1	19	14	2
OTU_242	35	12	1	12	13	5	55	0	36	7	10	5	15	11	12	0	9	52
OTU_23	36	1790	25	76	68	1826	37	18	32	38	122	1444	75	27	3474	20	85	46
OTU_1317	164	2	2	4	139	12	144	17	12	7	23	9	3	77	1	3	11	279
OTU_28	1722	21	60	21	48	24	60	62	20	7	143	2029	23	188	26	47	24	106
OTU_141	3	90	1	3	3	76	1	1	221	58	3	6	2	3	205	0	1	10
OTU_461	420	14	11	10	47	13	96	23	21	24	2055	222	19	201	4	1	47	427
OTU_355	3	1	60	0	1	0	1	39	2	1	3	0	0	0	1	45	1	0
OTU_136	71	62	64	61	60	71	80	111	52	49	98	89	63	61	42	83	57	68
OTU_121	5	1	0	2	2	3	1	2	1	0	422	57	2	19	2	1	2	4
OTU_895	13	0	1	50	0	0	6	0	0	0	1	7	42	4	0	0	47	9
OTU_1062	55	109	57	104	182	386	71	107	49	33	380	1031	89	35	56	85	171	213
OTU_1411	10	12	139	65	4	11	9	291	1	1	2	7	138	6	19	158	107	2
OTU_32	146	302	10	21	96	332	78	17	1273	2307	121	74	27	17	1296	9	26	152
OTU_69	193	68	23	26	894	62	120	19	76	33	267	160	36	44	47	17	33	151
OTU_84	10	8	905	4	29	13	4	607	62	11	15	9	3	5	13	795	3	7
OTU_105	113	34	1	52	19	54	102	4	2	6	49	388	50	59	244	2	34	11
OTU_238	68	2	0	45	1	1	52	1	0	2	12	3	31	3	2	0	35	53
OTU_189	37	36	37	24	37	21	37	33	28	17	37	41	29	16	32	24	32	34
OTU_164	38	117	25	187	45	106	24	12	56	15	145	115	161	24	109	18	207	29
OTU_210	13	5	1	0	46	3	60	1	22	9	5	2	2	19	19	1	1	120
OTU_214	3	5	107	2	1	1	2	64	3	2	2	4	6	2	0	78	1	0
OTU_146	145	4	7	0	8	2	5	0	5	5	15	139	3	7	2	0	1	161
OTU_2252	25	4	2	18	2	2	17	6	2	0	53	41	19	23	1	7	14	24
OTU_421	14	9	0	0	1	13	13	2	4	2	4	3	0	18	7	0	2	2
OTU_2592	72	33	6	72	0	1	6	6	0	8	4	40	532	0	29	6	50	4
OTU_17	474	1263	304	1231	61	1222	124	1006	43	61	531	1013	2685	81	4393	799	1500	215
OTU_1566	6	207	1	11	6	182	3	7	9	5	15	159	14	4	497	6	9	15
OTU_361	41	15	228	71	24	0	15	5	24	17	4	22	1852	3	22	26	185	11
OTU_977	3	14	38	11	9	19	9	20	7	11	10	5	2	3	16	12	3	8
OTU_165	68	53	32	27	66	50	51	31	49	44	64	65	21	28	59	29	31	73
OTU_2735	0	1	6	5	0	4	0	2	0	2	1	3	10	0	0	1	4	1
OTU_87	130	14	10	61	45	17	89	3	21	6	665	384	57	20	48	4	53	199
OTU_245	28	4	3	2	4	3	62	2	4	3	52	71	0	36	1	4	2	16
OTU_46	67	73	18	25	47	74	63	18	30	38	1789	142	10	123	62	13	14	65
OTU_155	34	54	96	57	36	38	39	85	36	20	56	42	87	37	47	92	77	42
OTU_292	41	3	0	0	61	8	48	1	31	2	5	18	0	23	3	2	1	26
OTU_163	10	58	67	8	16	65	12	134	21	9	19	21	15	8	17	256	5	10
OTU_38	93	72	374	524	90	57	126	1882	93	55	49	52	62	85	32	2041	149	75
OTU_627	9	1	1	4	0	0	6	3	0	0	9	7	5	25	0	0	1	8
OTU_414	8	0	0	10	0	0	2	0	0	0	5	34	19	9	0	0	15	12
OTU_261	63	36	19	38	17	38	59	10	11	29	186	178	41	33	34	9	42	92
OTU_2130	18	693	15	33	25	439	14	14	15	16	53	441	35	4	1314	9	32	16
OTU_2445	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
OTU_1187	25	16	4	114	8	3	19	1	90	65	9	140	116	9	26	2	2	3
OTU_109	144	19	4	22	14	12	113	10	3	5	518	272	32	178	8	12	14	152
OTU_213	30	39	24	27	33	43	34	27	32	29	32	22	33	20	34	21	23	18
OTU_74	185	182	116	177	142	161	175	124	154	124	201	174	148	142	154	145	138	135
OTU_199	7	2	0	6	0	0	9	1	0	2	54	2	1	183	1	0	2	4
OTU_54	877	4	5	20	3	3	462	2	4	6	155	285	7	342	1	2	12	262
OTU_670	0	1	13	0	4	1	0	12	1	0	0	0	2	0	2	23	0	0
OTU_1795	6	24	0	2	1	19	0	0	0	0	54	23	0	16	9	0	0	4
OTU_196	50	16	25	18	63	30	37	21	28	26	33	39	14	23	40	12	22	52
OTU_441	206	118	184	137	213	254	94	511	60	103	290	143	360	91	134	109	660	304
OTU_226	6	3	265	75	11	7	9	190	8	7	9	5	64	6	6	211	61	9
OTU_378	13	12	13	10	7	8	6	13	7	5	9	9	11	3	7	8	6	7
OTU_2712	9	2	1	101	2	1	6	0	2	3	5	33	387	1	5	0	120	0
OTU_2084	226	66	96	82	6	17	6	59	6	10	22	107	1560	5	60	90	350	37
OTU_183	39	79	7	9	15	97	25	4	65	33	271	177	11	7	167	24	6	71
OTU_324	14	10	9	13	7	9	15	16	6	7	9	15	7	3	8	10	10	12
OTU_133	64	47	10	52	144	43	71	15	68	71	112	55	48	55	69	7	47	75
OTU_117	7	209	56	29	4	169	8	25	3	9	19	62	64	8	496	19	40	7
OTU_95	253	136	100	136	166	146	198	119	129	124	204	189	87	246	98	97	109	223
OTU_48	9	15	22	1664	1	15	12	9	2	1	1	3	1135	0	3	20	1345	47
OTU_687	14	1	2	51	5	2	3	0	1	2	5	6	76	5	2	3	67	7
OTU_61	30	1173	18	44	173	1264	44	21	143	137	350	383	43	747	532	25	41	58
OTU_511	0	0	0	0	0	1	2	0	0	0	0	0	0	28	0	0	0	2
OTU_247	2	3	4	37	3	2	2	1	14	11	6	2	23	1	3	0	209	0
OTU_2613	24	25	555	120	8	15	27	1323	12	22	17	23	204	15	20	1133	34	17
OTU_1686	87	5	7	15	132	4	81	4	164	130	4	6	10	15	10	4	5	27
OTU_2711	225	71	23	55	204	50	314	24	137	383	113	96	41	167	35	24	42	183
OTU_1654	4	15	30	10	11	13	4	35	11	15	26	52	6	9	28	29	8	13
OTU_140	20	333	14	17	55	349	11	14	166	62	22	11	18	12	130	9	25	13
OTU_217	3	1	2	1	1	0	1	1	1	180	0	0	0	0	0	0	1	0
OTU_206	30	22	13	20	28	24	23	12	18	11	20	28	15	16	32	11	19	41
OTU_160	60	1	4	4	5	5	36	7	3	4	132	136	2	226	6	2	6	29
OTU_112	9	45	7	11	9	32	8	8	2	4	112	369	5	30	37	3	4	10
OTU_173	5	78	1	2	1	100	10	2	1	0	224	73	0	33	58	2	1	4
OTU_2538	1	22	4	6	3	10	1	0	1	5	49	322	1	0	5	1	1	0
OTU_628	1860	127	11	20	86	120	320	9	40	31	655	255	23	62	72	3	19	1035
OTU_1612	48	70	5	400	209	74	68	3	117	29	114	230	297	18	47	9	261	141
OTU_1213	11	7	13	408	8	13	142	22	85	8	4	8	17	127	10	261	15	4
OTU_36	36	1	0	0	11	5	9	0	294	257	1	18	0	2198	15	2	1	28
OTU_671	0	0	7	5	0	0	0	4	0	0	0	0	14	0	1	5	10	0
OTU_52	158	198	29	129	275	177	251	20	354	515	1637	1466	115	87	255	18	137	399
OTU_208	16	5	5	124	5	8	5	0	4	2	12	12	177	7	4	1	171	16
OTU_168	46	69	16	37	206	181	65	11	80	35	302	76	20	117	60	28	52	64
OTU_2383	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_86	82	3	1	7	5	2	74	1	1	2	145	576	3	34	3	0	4	154
OTU_116	106	58	59	67	103	77	71	36	61	81	81	110	54	66	112	52	68	101
OTU_106	26	339	15	58	89	368	23	19	90	58	41	45	59	21	260	14	63	18
OTU_126	292	5	3	6	7	8	444	4	49	4	32	42	0	117	10	5	0	327
OTU_1163	0	1	1	7	0	0	0	0	0	0	0	0	8	0	0	4	3	0
OTU_402	7	11	330	17	6	21	6	146	9	11	7	5	19	4	16	256	7	2
OTU_2225	6	50	69	7	8	43	14	53	20	24	6	5	1	5	39	38	10	11
OTU_104	382	24	14	6	193	38	434	9	58	43	52	74	9	32	53	13	5	229
OTU_77	141	124	133	199	111	120	106	207	76	63	176	137	149	114	119	164	157	110
OTU_1486	19	64	28	2	4	15	5	6	6	28	17	60	5	1	26	7	4	6
OTU_147	280	2	1	1	5	2	280	0	2	0	2	5	1	3	1	3	1	21
OTU_47	1266	20	15	20	22	17	1025	12	11	11	74	118	20	345	5	10	18	716
OTU_2047	17	7	160	58	28	16	21	95	20	6	20	10	689	6	11	60	2112	37
OTU_231	64	29	0	1	23	38	50	1	2	5	95	59	0	17	1	1	1	40
OTU_459	2	1	1	0	0	0	0	0	0	1	8	3	1	41	0	1	1	0
OTU_70	124	155	393	226	82	144	103	380	143	116	147	133	172	82	147	410	196	84
OTU_78	48	12	10	7	5	8	21	12	7	5	833	100	7	426	8	18	19	16
OTU_1980	88	0	0	1	0	1	67	1	1	0	2	0	3	5	0	2	0	32
OTU_68	9	521	6	6	13	595	11	7	12	8	18	726	8	10	330	3	11	18
OTU_330	36	18	1	0	1	33	36	0	1	0	6	17	0	15	9	0	2	41
OTU_476	23	1	0	2	0	0	17	0	0	0	0	2	0	28	0	5	1	17
OTU_215	40	3	114	7	9	2	29	128	14	3	6	15	6	4	2	144	7	18
OTU_205	12	3	4	18	4	6	62	1	3	3	164	37	18	4	5	6	7	35
OTU_1778	1	3	0	2	80	49	1	5	1	0	79	1	4	0	1	0	7	26
OTU_429	0	0	30	1	3	2	1	32	1	2	5	5	3	0	2	38	2	1
OTU_690	3	12	232	15	1	2	6	143	6	9	2	5	24	3	5	111	12	1
OTU_135	8	471	11	6	3	480	5	8	2	4	7	7	4	6	209	2	8	3
OTU_138	11	8	9	11	2	10	51	7	5	4	98	101	12	373	6	11	24	23
OTU_218	75	36	1	6	97	28	95	1	23	8	175	121	8	55	48	1	1	104
OTU_1506	0	1	0	1	0	1	1	1	0	0	0	0	2	0	0	0	0	0
OTU_736	2	0	2	2	3	1	2	0	1	2	0	3	0	0	1	1	0	2
OTU_1759	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU_391	2	0	36	2	1	0	0	36	1	0	1	3	0	0	0	24	0	1
OTU_978	99	266	72	21	76	319	95	31	37	25	587	232	16	40	124	43	23	157
OTU_359	18	7	21	14	5	12	16	18	13	11	15	13	18	14	15	15	11	7
OTU_113	177	0	0	0	137	0	391	0	278	255	0	0	1	0	5	0	0	99
OTU_987	1	1	2	2	58	0	1	1	2	0	2	5	2	0	0	2	3	6
OTU_2335	1	2	3	0	3	1	0	3	1	0	1	0	2	0	0	1	3	2
OTU_2800	21	5	0	0	1	6	1	3	0	0	103	12	0	1	3	0	1	36
OTU_71	202	149	127	199	129	125	131	135	105	84	322	247	207	205	107	125	185	162
OTU_341	7	7	14	6	5	5	11	14	8	5	11	9	10	9	6	14	7	10
OTU_623	0	1	8	0	0	0	0	6	0	0	0	0	0	0	0	19	0	0
OTU_1167	0	0	0	0	0	1	0	1	0	0	2	4	1	0	1	0	2	0
OTU_553	8	96	24	18	8	86	10	19	16	5	7	17	31	2	67	24	21	19
OTU_2097	3	9	0	2	34	66	31	7	56	19	21	1	0	2	11	9	9	38
OTU_1087	8	71	1	97	18	223	10	8	22	5	337	309	64	3	92	6	109	23
OTU_1142	0	2	19	0	1	1	1	11	1	3	1	0	1	0	5	14	3	0
OTU_1896	68	2	0	0	1	0	24	0	0	1	1	2	0	3	0	0	0	6
OTU_286	3	7	5	2	7	4	4	6	1	14	58	8	1	2	4	2	2	15
OTU_131	283	5	5	136	7	3	28	0	5	3	13	26	94	10	2	0	162	160
OTU_188	3	4	0	2	2	5	3	0	2	2	8	5	0	4	0	1	0	215
OTU_865	14	7	8	0	2	1	3	6	0	3	404	156	4	1	4	1	29	27
OTU_1700	2	1	1	10	25	0	9	2	32	13	3	0	1	6	0	2	1	2
OTU_96	153	12	4	40	2	9	153	4	1	3	305	439	51	113	6	4	23	113
OTU_469	1	14	2	0	0	5	0	0	0	0	0	4	0	0	24	0	2	3
OTU_56	873	29	8	12	24	31	317	4	4	6	130	151	6	93	17	1	11	461
OTU_471	16	4	6	75	83	31	19	4	20	11	107	40	4	8	9	3	55	25
OTU_2570	233	13	8	16	60	28	70	13	29	78	34	38	18	269	23	4	25	117
OTU_263	43	18	46	31	19	26	26	41	11	24	34	26	38	24	23	31	22	21
OTU_1866	4	2	26	93	2	2	1	24	1	1	0	6	48	1	3	35	53	1
OTU_1210	12	0	0	0	1	0	7	1	0	0	6	2	0	2	1	0	0	19
OTU_479	3	2	11	10	6	5	4	11	1	2	4	4	9	4	2	14	3	1
OTU_79	24	273	1	9	21	222	44	1	51	334	11	85	6	5	110	0	2	69
OTU_1132	3	0	4	1	0	0	2	0	2	1	3	0	0	1	3	1	1	0
OTU_111	61	53	96	197	43	50	51	89	40	36	58	62	195	66	70	107	147	50
OTU_295	19	11	19	14	10	19	17	32	11	17	24	11	15	16	10	22	18	10
OTU_1104	3	5	1	2	11	16	6	11	1	1	677	34	1	14	1	1	10	39
OTU_312	9	13	9	6	5	9	15	5	11	3	3	8	7	7	21	11	4	8
OTU_176	50	20	1	25	27	22	62	3	24	14	69	106	12	36	53	1	21	67
OTU_186	34	25	43	38	29	26	34	35	24	24	39	33	43	40	22	39	34	32
OTU_76	532	6	3	2	10	1	180	5	9	231	89	103	3	127	2	6	4	368
OTU_246	216	0	0	47	7	2	168	3	9	7	99	22	43	14	4	1	22	227
OTU_145	15	13	600	25	8	24	17	620	11	19	20	16	22	6	20	626	30	14
OTU_516	3	0	1	3	0	0	5	0	0	0	3	1	1	2	1	0	4	4
OTU_303	1	21	1	0	4	24	1	1	10	12	0	0	0	1	91	1	0	2
OTU_2455	2	2	0	2	48	4	3	0	10	5	4	0	1	1	2	0	1	3
OTU_408	2	0	1	35	1	0	1	0	0	0	1	7	28	1	0	1	11	4
OTU_2366	47	15	7	14	16	9	16	4	1	3	102	74	19	71	6	6	21	26
OTU_63	246	129	85	102	119	130	207	91	112	144	216	224	79	137	123	70	72	207
OTU_125	232	22	11	78	7	10	193	4	25	11	218	373	52	674	12	33	31	121
OTU_256	20	25	2	9	43	37	29	5	10	20	22	32	11	93	25	7	8	17
OTU_2677	0	0	12	18	0	0	0	4	4	1	0	0	31	1	6	2	71	1
OTU_288	11	9	3	0	26	8	5	1	44	2	14	15	1	6	9	2	0	28
OTU_1685	0	0	0	2	0	1	0	1	0	0	0	0	6	0	0	0	1	1
OTU_179	9	16	1	18	152	13	28	61	59	20	11	13	7	16	19	8	10	13
OTU_280	13	2	2	6	1	0	17	0	0	1	83	5	4	9	0	1	7	6
OTU_1368	0	1	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_144	148	3	1	18	6	3	151	1	5	2	75	190	10	19	16	0	11	151
OTU_703	0	5	0	1	4	0	2	0	8	548	1	4	0	2	4	1	0	6
OTU_453	15	4	5	4	6	10	7	4	9	6	6	9	1	5	11	4	11	12
OTU_1242	0	0	0	4	0	0	0	0	0	0	0	0	12	1	0	0	6	0
OTU_253	15	12	26	13	17	21	15	30	14	11	21	15	24	15	13	25	18	14
OTU_2179	23	2	0	0	26	4	11	1	0	5	47	28	0	4	10	0	1	44
OTU_1249	27	0	0	11	0	1	14	0	0	0	15	25	11	6	0	1	11	13
OTU_156	63	40	33	49	60	33	47	35	32	43	62	61	39	39	37	34	44	74
OTU_162	23	9	21	9	10	10	25	9	14	12	11	13	11	10	14	11	18	8
OTU_166	13	3	3	1	2	2	18	4	1	4	48	3	6	4	3	2	6	213
OTU_181	8	1	2	7	1	0	165	0	2	1	9	5	12	37	1	1	9	58
OTU_222	4	6	2	5	4	13	1	2	1	1	12	128	12	3	13	3	6	2
OTU_2222	0	4	33	0	5	2	1	18	3	6	1	1	0	0	7	32	0	1
OTU_404	7	9	13	8	4	9	8	12	9	5	10	5	12	8	5	11	11	10
OTU_339	4	13	16	16	3	21	3	6	9	1	4	13	15	4	17	19	12	1
OTU_202	7	9	81	55	4	8	6	39	3	1	9	7	31	2	5	85	49	6
OTU_130	19	5	1	13	28	4	167	0	342	493	3	8	2	8	11	4	2	96
